timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1772396107301,221,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,1,1,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,216,0,115
1772396107525,93,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,1,1,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,93,0,0
1772396107618,95,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,1,1,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,95,0,0
1772396107714,90,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,1,1,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,90,0,0
1772396107805,92,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,1,1,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,92,0,0
1772396107898,92,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,1,1,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,92,0,0
1772396107992,92,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,1,1,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,91,0,0
1772396108085,91,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,1,1,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,91,0,0
1772396108177,95,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,1,1,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,95,0,0
1772396108273,109,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,1,1,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,109,0,0
1772396108384,91,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,1,1,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,91,0,0
1772396108475,90,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,1,1,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,90,0,0
1772396108566,91,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,1,1,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,91,0,0
1772396108658,90,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,1,1,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,90,0,0
1772396108749,93,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,1,1,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,93,0,0
1772396108843,95,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,1,1,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,95,0,0
1772396108940,92,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,1,1,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,92,0,0
1772396109033,92,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,1,1,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,92,0,0
1772396109125,91,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,1,1,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,91,0,0
1772396109217,93,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,1,1,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,93,0,0
1772396109311,92,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,1,1,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,92,0,0
1772396109404,95,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,1,1,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,94,0,0
1772396109500,92,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,1,1,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,92,0,0
1772396109593,92,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,2,2,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,92,0,0
1772396109686,95,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,2,2,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,95,0,0
1772396109678,176,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-2,text,true,,2363,172,2,2,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,176,0,83
1772396109781,93,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-1,text,true,,2363,172,2,2,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,93,0,0
1772396109856,92,GET /catalog/hotels,200,OK,Nivel 1 - 25 Usuarios 1-2,text,true,,2363,172,2,2,http://proyecto-final-alb-274129795.us-east-1.elb.amazonaws.com/catalog/hotels,92,0,0
